source,target,created_at,is_reciprocal
98548b77-8347-45cc-9b6e-8ae76d9bf703,094b0500-3674-44cc-b305-f29ae20d644d,2025-10-19 12:04:10.134634+00,true
a99ddcd6-bc5d-4bd8-add9-3eb953a186ae,a4884da9-0820-4dfa-a52d-d1f7ccc17e86,2025-11-06 13:15:27.62263+00,false
7d88f96f-a0e1-4523-aaa1-40820947c51b,63731881-bc3f-4e37-b6b4-82a9012dd2fe,2025-11-28 11:11:46.445802+00,false
357f6949-e045-43e6-b24a-82c54a65f60c,bfc65f52-aaa5-4e63-9192-604400242f1f,2025-11-30 16:47:55.963127+00,false
01b6af31-9fe5-48d1-a48a-350a0b180d54,ef0a0516-2a86-450e-97b0-211bccef7941,2025-10-22 00:50:24.090961+00,true
ef0a0516-2a86-450e-97b0-211bccef7941,01b6af31-9fe5-48d1-a48a-350a0b180d54,2025-10-22 01:58:24.843147+00,true
5ab427cd-c66d-408e-bb7e-c19de655cfc2,7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,2025-10-22 03:45:44.332467+00,true
7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,5ab427cd-c66d-408e-bb7e-c19de655cfc2,2025-10-22 03:45:58.660698+00,true
094b0500-3674-44cc-b305-f29ae20d644d,98548b77-8347-45cc-9b6e-8ae76d9bf703,2025-10-23 10:13:31.94569+00,true
a1cc56bc-0014-47de-b316-1b05cecacb99,66b87c72-c470-464b-b4aa-e2859e96f060,2025-12-11 10:40:44.337729+00,true
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,70647789-df09-4be7-9b6c-ca04ee6422ec,2025-10-26 03:15:56.411816+00,false
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,bb841d1d-78fc-4a3e-8150-cb597ee5af0a,2025-10-26 03:15:58.508035+00,false
ae752aa6-67c6-4064-9929-b7dad7cbf5fd,091bcbbb-3c6b-4e20-8d5a-c2fd61709a17,2025-10-26 03:16:28.640439+00,false
a7125370-6812-4da2-8b88-10187c3742b5,ef0a0516-2a86-450e-97b0-211bccef7941,2025-10-26 07:14:14.885262+00,false
a7125370-6812-4da2-8b88-10187c3742b5,fbaa72b8-a1ca-4eaf-871a-947f17c7c173,2025-10-26 07:14:25.169312+00,true
